"78";"Pilot ili student pilot, kada postane svestan bolničkog prijema više od 12 sati, hirurške operacije ili invazivne procedure, redovne upotrebe lekova, regularne upotrebe korektivnih sočiva:";"Ne mora da leti dok ne zatraži savet od kompetentnog vazduhoplovnog lekara.";"Mora ponovo da prođe ispit iz zdravstvene podobnosti.";"Mora da obavesti nadležnu vazduhoplovnu vlast u roku od 21 dana.";"";"a";"Vazduhoplovni propisi"
"79";"U kojem od sledećih slučajeva bi lekarsko uverenje bilo suspendovano?";"Svaka bolest koja uključuje nesposobnost funkcionisanja kao člana posade tokom perioda od 21 dana ili više, ili bilo kakve značajne telesne povrede koje uključuju nesposobnost funkcionisanja kao člana posade.";"Svaka hirurška operacija ili invazivna procedura i trudnoća.";"Svaka hirurška operacija ili invazivna procedura.";"";"a";"Vazduhoplovni propisi"
"80";"Koliko dugo važi ovlašćenje za klasu jednomotornih aviona?";"2 godine.";"6 meseci.";"1 godina.";"3 godine.";"a";"Vazduhoplovni propisi"
"81";"Maksimalno važenje pilotske dozvole je:";"5 godina.";"2 godine.";"3 godine.";"4 godine.";"a";"Vazduhoplovni propisi"
"82";"Važnost pilotske dozvole se određuje važnošću:";"Upisanih ovlašćenja i lekarskog uverenja.";"Samo lekarskog uverenja.";"Same dozvole i upisa u dozvolu.";"";"a";"Vazduhoplovni propisi"
"83";"Koji od navedenih postupaka je pilot vazduhoplova posebno dužan da izvrši pre svakog leta?";"Da se upozna sa svim dostupnim podacima o letu.";"Da proveri knjižicu vazduhoplova (aircraft logbooks) po odgovarajućim stavkama.";"Da obnovi procedure za izbegavanje turbulencije. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 14 / 25 PPL - Vazduhoplovni propisi";"";"a";"Vazduhoplovni propisi"
"84";"Postupci pre leta koji se izvršava van područja aerodroma, uključuju:";"Prorada postupaka za slučaj da se let ne može izvršiti prema planiranoj proceduri.";"Određivanje alternativnog aerodroma.";"Studiju o procedurama dolaska na aerodrom/heliodrom koji je u upotrebi.";"";"a";"Vazduhoplovni propisi"
"85";"Pored ostalih aktivnost, u pripremi VFR leta izvan područja aerodroma, propisi izričito nalažu da PIC:";"Odredi dužinu piste na aerodromu nameravanog odredišta i podatke za dužinu sletanja i poletanja vazduhoplova.";"Proveri upotrebu svetlosnih signala.";"Proveri tačnosti navigacijske opreme i odašiljača signala položaja u nevolji(ELT).";"";"a";"Vazduhoplovni propisi"
"86";"Pilot je obavezan da ima vezane sedišne pojaseve i ramene veze:";"Za vreme poletanja i sletanja.";"U svim uslovima leta.";"U toku leta u turbulentnim uslovima.";"";"a";"Vazduhoplovni propisi"
"87";"Šta najpreciznije opisuje uslove leta u kojima je pilot obavezan da drži sigurnosne pojaseve vezanim?";"Sedišne veze za vreme poletanja i sletanja i na ruti; ramene veze u toku poletanja i sletanja.";"Sedišne veze za vreme poletanja i sletanja; ramene veze u toku poletanja i sletanja.";"Sedišne veze za vreme poletanja i sletanja; ramene veze u toku poletanja i sletanja i na ruti.";"";"a";"Vazduhoplovni propisi"
"88";"Koju obavezu, u odnosu na putnike, ima PIC vazduhoplova u vezi upotrebe sigurnosnih pojaseva?";"PIC mora da putnicima kratka uputstva o tome gde se nalaze pojasevi i kako se koriste.";"PIC mora da poduči putnike da njihovi sigurnosni pojasevi budu vezani tokom celog leta.";"PIC nema obavezu prema putnicima u pogledu upotrebe sigurnosnih pojaseva.";"";"a";"Vazduhoplovni propisi"
"89";"Ko je obavezan da odredi da li je vazduhoplov spreman za bezbedan let?";"PIC.";"Vlasnik ili operator.";"Sertifikovani mehaničar aviona.";"";"a";"Vazduhoplovni propisi"
"90";"Koja osoba je neposredno odgovorna za pripremu putnika za let?";"PIC.";"Domaćin vazduhoplova.";"Zemaljski član posade.";"";"a";"Vazduhoplovni propisi"
"91";"Šta znači skraćenica „AAL”?";"Iznad nivoa aerodroma (Above Aerodrome Level).";"Potvrdite (Acknowledge).";"Ograničenje napadnog ugla (Angle of Attack Limitation).";"Nivo visine aerodroma. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 15 / 25 PPL - Vazduhoplovni propisi";"a";"Vazduhoplovni propisi"
"92";"Koja brzina vazduhoplova treba da bude upisana u rubrici „Cruising Speed” u ICAO Planu leta?";"Stvarna vazdušna brzina.";"Kalibrisana vazdušna brzina.";"Indikovana vazdušna brzina.";"Putna brzina.";"a";"Vazduhoplovni propisi"
"93";"Šta bi trebalo da se upiše u rubrici „LEVEL” ICAO VFR Plana leta?";"Ili reč „VFR” ili predložena visina krstarenja.";"Ne upisuje se. Ta rubrika je prazna za VFR letove.";"Predložene visine krstarenja.";"Fraza „VFR: variable”.";"a";"Vazduhoplovni propisi"
"94";"Šta znači skraćenica „WIP”?";"Radovi u toku.( Work in progress)";"Sa dozvolom.( With permission)";"Počevši.( With effect from)";"Postupak povećanja težine.( Weight increase procedure)";"a";"Vazduhoplovni propisi"
"95";"Vazduhoplov je u kontrolisanom vazdušnom prostoru pod kontrolom ATC. Odgovornost za obezbeđenje adekvatne dozvole je na:";"Vođi vazduhoplova.";"Direktoratu civilnog vazduhoplovstva Republike Srbije.";"Jedino na ATC.";"ATC i vođi vazduhoplova.";"a";"Vazduhoplovni propisi"
"96";"U koju svrhu ATC može da izda dozvolu za SVFR let?";"Jedino za letenje u školskom krugu kontrolne zone.";"Za sve letove u svrhu preleta terminalne zone.";"Jedino za letove za ulazak ili izlazak iz kontrolne zone.";"Za sve letove u uslovno zabranjenoj zoni.";"a";"Vazduhoplovni propisi"
"97";"Vertikalne granice kontrolne zone (CTR) su:";"Od površine tla do definisane visine.";"Od 600m GND do definisane visine.";"Od 600m GND do donje granice terminalnog područja.";"Od površine tla do 900m MSL.";"a";"Vazduhoplovni propisi"
"98";"Šta je od navedenoga definicija pojma „Kontrolna zona”?";"Kontrolisani vazdušni prostor koji se proteže naviše od površine zemlje.";"Vazdušni prostor neposredno iznad aerodroma.";"Vazdušni prostor definisanih dimenzija unutar kojeg je sav vazdušni saobraćaj kontrolisan. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 16 / 25 PPL - Vazduhoplovni propisi";"";"a";"Vazduhoplovni propisi"
"99";"Deo vazdušnog prostora određenih dimenzija iznad određenog područja, u kojem letenje nije dozvoljeno, zove se:";"Zabranjena zona.";"Terminalna zona (TMA).";"Uslovno zabranjena zona.";"Kontrolna zona (CTR).";"a";"Vazduhoplovni propisi"
"100";"Let u uslovno zabranjenoj zoni je moguć ukoliko pilot ima:";"Prethodno odobrenje službe kontrole letenja.";"Popunjen IFR plan leta.";"Prethodno odobrenje nadležnog starešine najbliže vojne baze.";"";"a";"Vazduhoplovni propisi"
"101";"Izraz „Kontrolisani vazdušni prostor” znači:";"Vazdušni prostor unutar kojeg je obezbeđena služba kontrole letenja.";"Vazdušni prostor određenih dimenzija unutar kojeg su svi vazduhoplovi kontrolisani.";"Vazdušni prostor oko aerodroma.";"Vazdušni prostor neposredno iznad aerodroma sa jednom ili više pista.";"a";"Vazduhoplovni propisi"
"102";"Vazdušni prostor koji se prostire od površine tla do određene visine se naziva:";"Kontrolna zona.";"Kontrolno područje.";"Terminalno kontrolno područje (TMA).";"Područje informacija u letu.";"a";"Vazduhoplovni propisi"
"103";"Ko je odgovoran za adekvatno razdvajanje VFR letova u vazduhu?";"Isključivo sami piloti.";"Isključivo kontrola letenja.";"Kontrola letenja i sekundarni radar.";"Kontrola letenja i piloti.";"a";"Vazduhoplovni propisi"
"104";"Koje propise primenjuje vazduhoplov registrovan u Republici Srbiji kada leti u stranom vazdušnom prostoru?";"Vazduhoplovne propise države iznad koje vrši prelet.";"Vazduhoplovne propise Republike Srbije.";"Vazduhoplovne propise države koja je proizvela vazduhoplov.";"Međunarodne ICAO propise.";"a";"Vazduhoplovni propisi"
"105";"Kontrolisani vazdušni prostor koji se proteže naviše od određene visine iznad površine zemlje se naziva:";"Kontrolno područje.";"Zona aerodromskog saobraćaja.";"Kontrolna zona.";"Zona vazdušne odbrane i identifikacije. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 17 / 25 PPL - Vazduhoplovni propisi";"a";"Vazduhoplovni propisi"
"106";"Koliko je širok pojas unutar državne granice u kojem je dozvoljeno letenje samo uz posebno odobrenje?";"5 km.";"7 km.";"9 km.";"11 km.";"a";"Vazduhoplovni propisi"
"107";"Kada sportski avion koji nema kabinu pod pritiskom leti iznad teritorije Republike Srbije, dužan je da koristi dodatnu kiseoničku opremu na visinama iznad srednjeg nivoa mora većim od:";"4.000m.";"3.600m.";"3.800m.";"4.200m.";"a";"Vazduhoplovni propisi"
"108";"Koja je minimalna bezbedna visina na kojoj je dozvoljeno letenje vazduhoplovom iznad naseljenih mesta ili skupova ljudi na otvorenom području?";"300m (1000 fita) iznad najviše prepreke u horizontalnom radijusu od 600m od vazduhoplova.";"Visina sa koje je moguće izvršiti sletanje iz nužde, u slučaju otkaza pogonske grupe, bez posledica po lica ili imovinu na površini.";"150m (500fita) iznad tla i ne bliže od 150 m od ljudi, vozila ili objekata.";"150m (500 fita) iznad najviše prepreke u horizontalnom radijusu od 300m od vazduhoplova.";"a";"Vazduhoplovni propisi"
"109";"Kada vizuelno leti u vazdušnom prostoru klase G, iznad 900m (3000 fita) MSL ili 300m (1000 fita) iznad površine tla, u zavisnosti od toga koja je veća, pilot vazduhoplova mora da održava vertikalnu udaljenost od oblaka, od minimalno:";"300m.";"100m.";"150m.";"250m.";"a";"Vazduhoplovni propisi"
"110";"Vizuelno letenje vazduhoplova u vazdušnom prostoru klase G na visinama iznad 900m (3000 fita) MSL ili 300m (1000 fita) iznad površine tla, u zavisnosti od toga koja je veća, pa sve do 3050m(10000 fita), je dozvoljeno ako je horizontalna vidljivost najmanje:";"1.5km.";"8km.";"5km.";"3km.";"a";"Vazduhoplovni propisi"
"111";"U toku doleta, s namerom da sleti, na aerodrom bez operativnog kontrolnog tornja, u vazdušnom prostoru klase G, pilot vazduhoplova bi trebao:";"Da sve zaokrete izvodi u levo, ukoliko nije drugačije naznačeno.";"Da se uključi i leti u školskom krugu na visini od 800 fita AAL.";"Da leti u levom školskom krugu na visini od 800 fita ALL. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 18 / 25 PPL - Vazduhoplovni propisi";"";"a";"Vazduhoplovni propisi"
"112";"Zahtevana minimalna horizontalna udaljenost od oblaka pri izvršavanju VFR letova u vazdušnom prostoru klase G na visinama iznad 300m od površine zemlje ili 900m MSL, u zavisnosti od toga koja je veća, iznosi:";"1500m.";"300m.";"8000m.";"600m.";"a";"Vazduhoplovni propisi"
"113";"Poletanje ili sletanje u VFR uslovima na ili sa aerodroma koji se nalazi unutar vazdušnog prostora klase D nije dozvoljeno, osim ako je:";"Vidljivost pri tlu na aerodromu najmanje 5km.";"Vidljivost na aerodromu najmanje 1.5km.";"Vidljivost pri tlu na aerodromu najmanje 1.5km.";"";"a";"Vazduhoplovni propisi"
"114";"Vremenski minimum za osnovni VFR let u vazdušnom prostoru klase D je:";"Donja baza oblaka 450m i vidljivost 5km.";"Bez oblačnosti i vidljivost 3km.";"Donja baza oblaka 450m i vidljivost 1.5km.";"";"a";"Vazduhoplovni propisi"
"115";"Koji je meteorološki minimum, koji dozvoljava kontroloru na tornju da odobri SVFR let u kontrolnoj zoni u vidljivom delu dana? Vidljivost u letu mora da bude najmanje:";"1500m..";"1500m i baza oblaka 300m GND";"5000m i baza oblaka 300m GND.";"5000m.";"a";"Vazduhoplovni propisi"
"116";"Vazduhoplov koji leti iznad mora na visinama između 4500 i 9000 fita MSL, u nekontrolisanom vazdušnom prostoru u VFR, mora se pridržavati sledećeg:";"Horizontalna udaljenost od oblaka 1500m, vertikalna 1000 fita; vidljivost 5km.";"Da leti izvan oblaka i da ima vidljiv kontakt sa zemljom; vidljivost 8km.";"Da ima horizontalno odstojanje od oblaka od 1500m, vertikalno 1000 fita; vidljivost 8km.";"Horizontalna udaljenost od oblaka 2000 fita, vertikalna 1000 fita; vidljivost 5km.";"a";"Vazduhoplovni propisi"
"117";"Prelazak sa „visine” na „nivo leta”, i obratno, se odvija:";"Na prelaznoj apsolutnoj visini u penjanju i prelaznom nivou u spuštanju.";"Samo na prelaznoj apsolutnoj visini.";"Na prelaznom nivou u penjanju i prelaznoj apsolutnoj visini u spuštanju.";"Samo na prelaznom nivou.";"a";"Vazduhoplovni propisi"
"118";"Za izvršavanje VFR letova trebalo bi se pridržavati propisanih tabela za nivoe leta, na visinama većim od:";"3000 fita MSL.";"3000 fita GND.";"2200 fita GND.";"700 fita MSL. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 19 / 25 PPL - Vazduhoplovni propisi";"a";"Vazduhoplovni propisi"
"119";"Koji bi od navedenih nivoa krstarenja odgovarao VFR letu iznad 3000 fita MSL, ako se 1700 200 održava pravi putni kurs i ako lokalna deklinacija iznosi W?";"FL 65.";"FL 55.";"FL 40.";"FL 30.";"a";"Vazduhoplovni propisi"
"120";"Vođa vazduhoplova, koji krstari na visinama iznad 3000 fita MSL u VFR, dužan je da se pridržava neparnog nivoa leta ako održava:";"Magnetne putne uglove između 0000 i 1790.";"Prave kurseve između 0000 i 1790.";"Magnetne kurseve između 1800 i 3590.";"Prave putne uglove između 1800 i 3590.";"a";"Vazduhoplovni propisi"
"121";"Koji od navedenih vazduhoplova uvek ima pravo prvenstva puta nad ostalim učesnicima vazdušnog saobraćaja?";"Vazduhoplov u nevolji.";"Balon.";"Vazduhoplov u finalnom prilazu za sletanje.";"";"a";"Vazduhoplovni propisi"
"122";"Koji od navedenih postupaka je potrebno primeniti, kada se dva vazduhoplova iste kategorije približavaju, ali ne čelom u čelo?";"Svaki vazduhoplov mora ustupiti prednost onome sa desne strane.";"Brži vazduhoplov mora ustupiti prednost.";"Levi vazduhoplov mora ustupiti prednost.";"";"a";"Vazduhoplovni propisi"
"123";"Kada se dva vazduhoplova približavaju jedan drugom čelo -u čelo i postoji opasnost od sudara, na koju stranu svaki od njih treba da skrene?";"Svaki vazduhoplov bi trebao da skrene u svoju desnu stranu.";"Teži vazduhoplov bi trebao da skrene u svoju desnu stranu, a lakši u svoju levu stranu.";"Teži vazduhoplov bi trebao da skrene u svoju levu stranu, a lakši u svoju desnu stranu.";"Svaki vazduhoplov bi trebao da skrene u svoju levu stranu.";"a";"Vazduhoplovni propisi"
"124";"Kako će piloti vazduhoplova koji se približavaju jedan drugome čelo – u čelo izbeći sudar?";"Svaki bi trebalo da skrene u svoju desnu stranu.";"Svaki bi trebalo da skrene u svoju levu stranu.";"Svaki bi trebalo da izvede penjući zaokret u svoju desnu stranu.";"Svaki bi trebalo da izvede penjući zaokret u svoju levu stranu.";"a";"Vazduhoplovni propisi"
"125";"Kako će vazduhoplovi u vazduhu izbeći jedan drugoga u kursu sudara čelo – u čelo?";"Oba vazduhoplova će skrenuti u svoju desnu stranu.";"Oba vazduhoplova će skrenuti u svoju levu stranu.";"Vazduhoplov s motornim pogonom ima prvenstvo puta, vazduhoplov bez motora skreće u svoju desnu stranu.";"Vazduhoplov bez motora ima prvenstvo puta, vazduhoplov s motornim pogonom će skrenuti u svoju levu stranu. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 20 / 25 PPL - Vazduhoplovni propisi";"a";"Vazduhoplovni propisi"
"126";"Kako će postupiti pilot aviona, a kako pilot jedrilice, ako lete jedan drugome u čelo na istoj visini?";"Pilot aviona bi trebao ustupiti prvenstvo puta.";"Pilot aviona bi trebao ustupiti prvenstvo puta, jer je njegov vazduhoplov više upravljiv.";"Oba pilota bi trebalo da daju prednost vazduhoplovu sa svoje desne strane.";"Pilot jedrilice bi trebao ustupiti prvenstvo puta, jer je jedrilica upravljivija od aviona.";"a";"Vazduhoplovni propisi"
"127";"Šta je dužan da uradi pilot jedrilice ukoliko mu se u čelo približava dvomotorna Cessna?";"Treba da izvuče vazdušne kočnice i da odmah smanji visinu, jer višemotorni avion ima prvenstvo puta.";"Treba da skrene u svoju levu stranu dajući time prvenstvo puta avionu.";"Treba da skrene u svoju desnu stranu.";"Može da zadrži pravac i brzinu ali mora da poveća pažnju, zato što jedrilica uvek ima prvenstvo puta.";"a";"Vazduhoplovni propisi"
"128";"Koji od navedenih vazduhoplova ima prvenstvo puta u vazduhu nad ostalim vazduhoplovima?";"Jedrilica.";"Dirižabl.";"Vazduhoplov koji vuče drugi vazduhoplov.";"Helikopter.";"a";"Vazduhoplovni propisi"
"129";"Koja od navedenih tvrdnji, kada se radi o prvenstvu puta u vazduhu pri ukrštanju dva vazduhoplova, ali ne čelom – u čelo, je tačna?";"Vazduhoplov normalne kategorije mora dati prvenstvo ultralakom vazduhoplovu.";"Avioni moraju da daju prvenstvo helikopterima.";"Avioni u slobodnom letu moraju dati prednost vazduhoplovima bez motora.";"Ultralaki vazduhoplovi moraju dati prednost vazduhoplovima normalne kategorije.";"a";"Vazduhoplovni propisi"
"130";"U toku prilaženja aerodromu, pilot jedrilice uočava aerozapregu, koja mu se približava sa njegove leve strane. Koji postupak bi pilot jedrilice trebao da preduzme u slobodnom letu?";"Može da zadrži pravac i brzinu, zato što jedrilica uvek ima prednost nad vazduhoplovima sa motornim pogonom.";"Mora da skrene u svoju levu stranu i da da prednost aerozaprezi, koja uvek ima prvenstvo puta nad svim ostalim vazduhoplovima.";"Mora da skrene u svoju levu stranu i da propusti aerozapregu, koja ima prednost u odnosu na jedrilicu.";"Može da zadrži pravac i brzinu, zato što je sa desne strane i zbog toga ima prednost, i da poveća pažnju.";"a";"Vazduhoplovni propisi"
"131";"Koji vazduhoplov mora ustupiti prednost u približavanju aviona i jedrilice u slobodnom letu?";"Avion.";"Ni jedan.";"Jedrilica.";"Oba vazduhoplova. Najnovije informacije u vezi ispita možete pronaći na www.cad.gov.rs/osoblje.php 21 / 25 PPL - Vazduhoplovni propisi";"a";"Vazduhoplovni propisi"
